copy,copy,copy,copy,copy,copy,copy
0,_______________,,,,,
0,META_DATA_START,,,,,
0,test_name,robot-assembly-qc-ot3,,,,
5.3,test_tag,FLXU3020260601004,,,,
0,test_run_id,run-26-06-04-08-56-54,,,,
5.3,test_device_id,FLXU3020260602003,FLXU3020260602003,PASS,,
5.3,test_robot_id,FLXU3020260602003,,,,
0,test_time_utc,2026/06/04-08:56:54,,,,
2.6,test_operator,yangyin,PASS,,,
5.4,test_version,labware_library@3.7.0_3_gf88e840a9b-f88e840a9b,,,,
5.4,firmware,67,,,,
0,META_DATA_END,,,,,
864.7,______________________,,,,,
864.7,RESULTS_OVERVIEW_START,,,,,
864.7,RESULT_META_DATA,PASS,,,,
864.7,RESULT_GANTRY,PASS,,,,
864.7,RESULT_SIGNALS,PASS,,,,
864.7,RESULT_INSTRUMENTS,PASS,,,,
864.7,RESULT_CONNECTIVITY,PASS,,,,
864.7,RESULT_PERIPHERALS,PASS,,,,
864.7,RESULTS_OVERVIEW_END,,,,,
5.7,____________,,,,,
5.7,GANTRY_START,,,,,
5.7,run-currents,0.8250000000000001,0.792,0.66,0.66,
14.5,home-start-estimate,477.2,493.8,253.475,253.475,
14.5,home-start-encoder,477.191,493.791,253.47299999999998,253.474,
14.5,home-start-aligned,PASS,,,,
18.6,x-max-estimate,477.2,493.8,253.475,253.475,
18.6,x-max-encoder,477.181,493.791,253.47299999999998,253.474,
18.7,x-max-aligned,PASS,,,,
16.6,x-min-estimate,-60.272,493.8,253.475,253.475,
16.6,x-min-encoder,-60.227,493.791,253.47299999999998,253.474,
16.6,x-min-aligned,PASS,,,,
22.7,y-max-estimate,477.2,493.8,253.475,253.475,
22.7,y-max-encoder,477.191,493.791,253.47299999999998,253.474,
22.7,y-max-aligned,PASS,,,,
20.8,y-min-estimate,477.2,88.005,253.475,253.475,
20.8,y-min-encoder,477.191,87.99799999999999,253.47299999999998,253.474,
20.8,y-min-aligned,PASS,,,,
28.7,zl-max-estimate,477.2,493.8,253.475,253.475,
28.7,zl-max-encoder,477.191,493.791,253.472,253.474,
28.7,zl-max-aligned,PASS,,,,
25.8,zl-min-estimate,477.2,493.8,38.480999999999995,253.475,
25.8,zl-min-encoder,477.191,493.791,38.484999999999985,253.474,
25.8,zl-min-aligned,PASS,,,,
34.9,zr-max-estimate,477.2,493.8,253.475,253.475,
34.9,zr-max-encoder,477.191,493.791,253.475,253.472,
34.9,zr-max-aligned,PASS,,,,
32,zr-min-estimate,477.2,493.8,253.475,38.480999999999995,
32,zr-min-encoder,477.191,493.791,253.475,38.47200000000001,
32.1,zr-min-aligned,PASS,,,,
36.3,home-end-estimate,477.2,493.8,253.475,253.475,
36.3,home-end-encoder,477.191,493.791,253.475,253.475,
36.3,home-end-aligned,PASS,,,,
5.7,GANTRY_END,,,,,
37.7,_____________,,,,,
37.7,SIGNALS_START,,,,,
37.7,nsync-target-pos,363.7,333.3,409.15,,
42,nsync-stop-pos,413.828,383.50300000000004,459.478,,
42,nsync-result,PASS,,,,
50,estop-target-pos,363.7,333.3,409.15,,
54.3,estop-stop-pos,413.634,384.053,459.499,,
54.3,estop-result,PASS,,,,
62.2,estop-external-left-target-pos,363.7,333.3,409.15,,
162.1,estop-external-left-stop-pos,449.424,419.12100000000004,495.11400000000003,,
162.1,estop-external-left-result,PASS,,,,
168.7,estop-external-right-target-pos,363.7,333.3,409.15,,
171.4,estop-external-right-stop-pos,453.81899999999996,423.368,499.432,,
171.4,estop-external-right-result,PASS,,,,
37.7,SIGNALS_END,,,,,
199.3,_________________,,,,,
199.3,INSTRUMENTS_START,,,,,
199.3,left-id,P1KSV3620240428A06,P1KSV3620240428A06,PASS,,
214,right-id,P1KSV3620240428A06,P1KSV3620240428A06,PASS,,
199.5,left-plunger-home,0,0,PASS,,
214.3,right-plunger-home,0,0,PASS,,
201.3,left-plunger-max,89.497,89.497,PASS,,
216.2,right-plunger-max,89.497,89.498,PASS,,
203.2,left-plunger-min,0.999,1.003,PASS,,
218,right-plunger-min,0.999,1.004,PASS,,
205.8,left-probe-distance,149.89999999999998,233.31600000000003,PASS,,
220.4,right-probe-distance,149.89999999999998,237.75400000000002,PASS,,
400.3,gripper-id,GRPV1220230809008,GRPV1220230809008,PASS,,
408.1,gripper-no-skip,PASS,,,,
409.6,gripper-jaw-min,58.244,60,PASS,,
411.4,gripper-jaw-max,92,92,PASS,,
417,gripper-probe-distance-front,54.02499999999998,141.93099999999998,PASS,,
426.1,gripper-probe-distance-rear,54.02499999999998,141.09099999999995,PASS,,
199.3,INSTRUMENTS_END,,,,,
553.1,__________________,,,,,
553.1,CONNECTIVITY_START,,,,,
553.1,ethernet,192.168.6.33/24,00:14:2D:83:C3:97,PASS,,
553.2,wifi,,None,192.168.6.28/24,50:5A:65:ED:6F:29,PASS
554,usb-b-rear,PASS,,,,
557.9,usb-1,PASS,,,,
558.1,usb-2,PASS,,,,
558.2,usb-3,PASS,,,,
558.3,usb-4,PASS,,,,
558.5,usb-5,PASS,,,,
558.6,usb-6,PASS,,,,
558.8,usb-7,PASS,,,,
559,usb-8,PASS,,,,
559.1,usb-9,PASS,,,,
663.2,UNPLUGGED_TEST,aux1_estop_det=PASS|aux2_estop_det=PASS|aux1_aux_det=PASS|aux2_aux_det=PASS|aux1_id_active=PASS|aux2_id_active=PASS|estop_active=PASS|door_open=PASS|sync_engaged=PASS|,PASS,,,
667.1,AUX_1_TEST,aux1_estop_det=PASS|aux2_estop_det=PASS|aux1_aux_det=PASS|aux2_aux_det=PASS|aux1_id_active=PASS|aux2_id_active=PASS|estop_active=PASS|door_open=PASS|sync_engaged=PASS|,PASS,,,
670.4,PLUGGED_TEST,aux1_estop_det=PASS|aux2_estop_det=PASS|aux1_aux_det=PASS|aux2_aux_det=PASS|aux1_id_active=PASS|aux2_id_active=PASS|estop_active=PASS|door_open=PASS|sync_engaged=PASS|,PASS,,,
674.4,ESTOP_1_TEST,aux1_estop_det=PASS|aux2_estop_det=PASS|aux1_aux_det=PASS|aux2_aux_det=PASS|aux1_id_active=PASS|aux2_id_active=PASS|estop_active=PASS|door_open=PASS|sync_engaged=PASS|,PASS,,,
675.6,ESTOP_2_TEST,aux1_estop_det=PASS|aux2_estop_det=PASS|aux1_aux_det=PASS|aux2_aux_det=PASS|aux1_id_active=PASS|aux2_id_active=PASS|estop_active=PASS|door_open=PASS|sync_engaged=PASS|,PASS,,,
679.9,AUX_2_TEST,aux1_estop_det=PASS|aux2_estop_det=PASS|aux1_aux_det=PASS|aux2_aux_det=PASS|aux1_id_active=PASS|aux2_id_active=PASS|estop_active=PASS|door_open=PASS|sync_engaged=PASS|,PASS,,,
677.4,aux-1-pcan,PASS,,,,
677.8,aux-2-pcan,PASS,,,,
553.1,CONNECTIVITY_END,,,,,
791.6,_________________,,,,,
791.6,PERIPHERALS_START,,,,,
791.6,screen-on,PASS,,,,
791.9,screen-touch,PASS,,,,
792.4,deck-lights-on,PASS,,,,
792.9,deck-lights-off,PASS,,,,
793.4,status-light-off,PASS,,,,
794.3,status-light-white,PASS,,,,
795.3,status-light-red,PASS,,,,
795.8,status-light-green,PASS,,,,
796.1,status-light-blue,PASS,,,,
798.3,door-switch,PASS,,,,
799.4,camera-active,PASS,,,,
864.7,camera-image,PASS,,,,
791.6,PERIPHERALS_END,,,,,
